time,temp_1,temp_2,type_of_heating_foil
Wed Dec 22 20:57:36 2021,-1.2,-6.6,HD3025G_20W
Wed Dec 22 20:57:38 2021,-1.1,-6.6,HD3025G_20W
Wed Dec 22 20:57:41 2021,-1.1,-6.6,HD3025G_20W
Wed Dec 22 20:57:43 2021,-1.0,-6.6,HD3025G_20W
Wed Dec 22 20:57:46 2021,-1.0,-6.6,HD3025G_20W
Wed Dec 22 20:57:49 2021,-1.0,-6.6,HD3025G_20W
Wed Dec 22 20:57:51 2021,-0.9,-6.6,HD3025G_20W
Wed Dec 22 20:57:53 2021,-0.9,-6.6,HD3025G_20W
Wed Dec 22 20:57:55 2021,-0.8,-6.6,HD3025G_20W
Wed Dec 22 20:57:58 2021,-0.8,-6.6,HD3025G_20W
Wed Dec 22 20:58:00 2021,-0.7,-6.6,HD3025G_20W
Wed Dec 22 20:58:03 2021,-0.7,-6.6,HD3025G_20W
Wed Dec 22 20:58:05 2021,-0.6,-6.6,HD3025G_20W
Wed Dec 22 20:58:07 2021,-0.6,-6.6,HD3025G_20W
Wed Dec 22 20:58:10 2021,-0.6,-6.6,HD3025G_20W
Wed Dec 22 20:58:12 2021,-0.5,-6.6,HD3025G_20W
Wed Dec 22 20:58:14 2021,-0.5,-6.6,HD3025G_20W
Wed Dec 22 20:58:17 2021,-0.5,-6.6,HD3025G_20W
Wed Dec 22 20:58:20 2021,-0.4,-6.7,HD3025G_20W
Wed Dec 22 20:58:22 2021,-0.4,-6.7,HD3025G_20W
Wed Dec 22 20:58:25 2021,-0.4,-6.7,HD3025G_20W
Wed Dec 22 20:58:27 2021,-0.3,-6.7,HD3025G_20W
Wed Dec 22 20:58:29 2021,-0.2,-6.7,HD3025G_20W
Wed Dec 22 20:58:32 2021,-0.2,-6.7,HD3025G_20W
Wed Dec 22 20:58:34 2021,-0.1,-6.7,HD3025G_20W
Wed Dec 22 20:58:37 2021,-0.1,-6.7,HD3025G_20W
Wed Dec 22 20:58:40 2021,-0.1,-6.7,HD3025G_20W
Wed Dec 22 20:58:42 2021,0.0,-6.7,HD3025G_20W
Wed Dec 22 20:58:45 2021,0.1,-6.7,HD3025G_20W
Wed Dec 22 20:58:47 2021,0.1,-6.7,HD3025G_20W
Wed Dec 22 20:58:49 2021,0.1,-6.7,HD3025G_20W
Wed Dec 22 20:58:51 2021,0.1,-6.7,HD3025G_20W
Wed Dec 22 20:58:54 2021,0.1,-6.7,HD3025G_20W
Wed Dec 22 20:58:57 2021,0.1,-6.7,HD3025G_20W
Wed Dec 22 20:59:00 2021,0.1,-6.7,HD3025G_20W
Wed Dec 22 20:59:02 2021,0.3,-6.7,HD3025G_20W
Wed Dec 22 20:59:05 2021,0.3,-6.7,HD3025G_20W
Wed Dec 22 20:59:07 2021,0.4,-6.7,HD3025G_20W
Wed Dec 22 20:59:09 2021,0.4,-6.8,HD3025G_20W
Wed Dec 22 20:59:11 2021,0.5,-6.7,HD3025G_20W
Wed Dec 22 20:59:14 2021,0.5,-6.7,HD3025G_20W
Wed Dec 22 20:59:16 2021,0.6,-6.7,HD3025G_20W
Wed Dec 22 20:59:18 2021,0.6,-6.7,HD3025G_20W
Wed Dec 22 20:59:21 2021,0.7,-6.7,HD3025G_20W
Wed Dec 22 20:59:23 2021,0.7,-6.7,HD3025G_20W
Wed Dec 22 20:59:25 2021,0.7,-6.7,HD3025G_20W
Wed Dec 22 20:59:27 2021,0.8,-6.7,HD3025G_20W
Wed Dec 22 20:59:30 2021,0.8,-6.8,HD3025G_20W
Wed Dec 22 20:59:33 2021,0.8,-6.8,HD3025G_20W
Wed Dec 22 20:59:35 2021,0.9,-6.7,HD3025G_20W
Wed Dec 22 20:59:39 2021,0.9,-6.7,HD3025G_20W
Wed Dec 22 20:59:41 2021,1.0,-6.8,HD3025G_20W
Wed Dec 22 20:59:43 2021,1.0,-6.8,HD3025G_20W
Wed Dec 22 20:59:45 2021,1.1,-6.8,HD3025G_20W
Wed Dec 22 20:59:47 2021,1.1,-6.8,HD3025G_20W
Wed Dec 22 20:59:51 2021,1.1,-6.8,HD3025G_20W
Wed Dec 22 20:59:53 2021,1.2,-6.8,HD3025G_20W
Wed Dec 22 20:59:56 2021,1.2,-6.8,HD3025G_20W
Wed Dec 22 20:59:58 2021,1.2,-6.8,HD3025G_20W
Wed Dec 22 21:00:00 2021,1.3,-6.8,HD3025G_20W
Wed Dec 22 21:00:03 2021,1.3,-6.8,HD3025G_20W
Wed Dec 22 21:00:06 2021,1.3,-6.8,HD3025G_20W
Wed Dec 22 21:00:09 2021,1.3,-6.8,HD3025G_20W
Wed Dec 22 21:00:11 2021,1.5,-6.8,HD3025G_20W
Wed Dec 22 21:00:14 2021,1.5,-6.8,HD3025G_20W
Wed Dec 22 21:00:16 2021,1.6,-6.8,HD3025G_20W
Wed Dec 22 21:00:18 2021,1.5,-6.8,HD3025G_20W
Wed Dec 22 21:00:20 2021,1.6,-6.8,HD3025G_20W
Wed Dec 22 21:00:22 2021,1.7,-6.8,HD3025G_20W
Wed Dec 22 21:00:25 2021,1.7,-6.8,HD3025G_20W
Wed Dec 22 21:00:27 2021,1.7,-6.8,HD3025G_20W
Wed Dec 22 21:00:29 2021,1.8,-6.8,HD3025G_20W
Wed Dec 22 21:00:31 2021,1.8,-6.8,HD3025G_20W
Wed Dec 22 21:00:33 2021,1.8,-6.8,HD3025G_20W
Wed Dec 22 21:00:36 2021,1.9,-6.8,HD3025G_20W
Wed Dec 22 21:00:38 2021,1.9,-6.8,HD3025G_20W
Wed Dec 22 21:00:40 2021,1.9,-6.8,HD3025G_20W
Wed Dec 22 21:00:42 2021,2.0,-6.9,HD3025G_20W
Wed Dec 22 21:00:44 2021,2.0,-6.8,HD3025G_20W
Wed Dec 22 21:00:47 2021,2.0,-6.9,HD3025G_20W
Wed Dec 22 21:00:49 2021,2.1,-6.8,HD3025G_20W
Wed Dec 22 21:00:51 2021,2.1,-6.8,HD3025G_20W
Wed Dec 22 21:00:53 2021,2.1,-6.9,HD3025G_20W
Wed Dec 22 21:00:55 2021,2.2,-6.9,HD3025G_20W
Wed Dec 22 21:00:58 2021,2.2,-6.8,HD3025G_20W
Wed Dec 22 21:01:00 2021,2.2,-6.8,HD3025G_20W
Wed Dec 22 21:01:02 2021,2.3,-6.8,HD3025G_20W
Wed Dec 22 21:01:04 2021,2.3,-6.8,HD3025G_20W
Wed Dec 22 21:01:07 2021,2.3,-6.8,HD3025G_20W
Wed Dec 22 21:01:10 2021,2.3,-6.9,HD3025G_20W
Wed Dec 22 21:01:12 2021,2.4,-6.8,HD3025G_20W
Wed Dec 22 21:01:14 2021,2.4,-6.8,HD3025G_20W
Wed Dec 22 21:01:16 2021,2.5,-6.9,HD3025G_20W
Wed Dec 22 21:01:19 2021,2.5,-6.9,HD3025G_20W
Wed Dec 22 21:01:21 2021,2.5,-6.8,HD3025G_20W
