TIME,TEMP_OB,TEMP_LOZ,REL_OB,REL_LOZ
Sun Apr 17 01:33:01 2022,7.2,22.3,False,True
Sun Apr 17 01:33:31 2022,7.2,22.3,False,True
Sun Apr 17 01:34:01 2022,7.1,22.4,False,True
Sun Apr 17 01:34:31 2022,7.2,22.4,False,True
Sun Apr 17 01:35:01 2022,7.2,22.4,False,True
Sun Apr 17 01:35:31 2022,7.2,22.4,False,True
Sun Apr 17 01:36:01 2022,7.2,22.4,False,True
Sun Apr 17 01:36:31 2022,7.2,22.4,False,True
Sun Apr 17 01:37:01 2022,7.3,22.5,False,True
Sun Apr 17 01:37:31 2022,7.2,22.5,False,True
Sun Apr 17 01:38:01 2022,7.2,22.5,False,True
Sun Apr 17 01:38:31 2022,7.2,22.5,False,True
Sun Apr 17 01:39:01 2022,7.2,22.5,False,True
Sun Apr 17 01:39:31 2022,7.2,22.5,False,True
Sun Apr 17 01:40:01 2022,7.1,22.5,False,True
Sun Apr 17 01:40:31 2022,7.1,22.5,False,True
Sun Apr 17 01:41:01 2022,7.1,22.5,False,True
Sun Apr 17 01:41:31 2022,7.1,22.6,False,True
Sun Apr 17 01:42:01 2022,7.1,22.6,False,True
Sun Apr 17 01:42:31 2022,7.2,22.6,False,True
Sun Apr 17 01:43:01 2022,7.2,22.6,False,True
Sun Apr 17 01:43:31 2022,7.2,22.6,False,True
Sun Apr 17 01:44:01 2022,7.2,22.6,False,True
Sun Apr 17 01:44:31 2022,7.2,22.6,False,True
Sun Apr 17 01:45:01 2022,7.2,22.6,False,True
Sun Apr 17 01:45:31 2022,7.2,22.6,False,True
Sun Apr 17 01:46:01 2022,7.2,22.6,False,True
Sun Apr 17 01:46:31 2022,7.3,22.6,False,True
Sun Apr 17 01:47:01 2022,7.3,22.7,False,True
Sun Apr 17 01:47:31 2022,7.3,22.7,False,True
Sun Apr 17 01:48:01 2022,7.3,22.7,False,True
Sun Apr 17 01:48:31 2022,7.3,22.7,False,True
Sun Apr 17 01:49:01 2022,7.2,22.7,False,True
Sun Apr 17 01:49:31 2022,7.3,22.7,False,True
Sun Apr 17 01:50:01 2022,7.2,22.7,False,True
Sun Apr 17 01:50:31 2022,7.2,22.7,False,True
Sun Apr 17 01:51:01 2022,7.3,22.7,False,True
Sun Apr 17 01:51:31 2022,7.2,22.7,False,True
Sun Apr 17 01:52:01 2022,7.3,22.7,False,True
Sun Apr 17 01:52:31 2022,7.2,22.7,False,True
Sun Apr 17 01:53:01 2022,7.2,22.7,False,True
Sun Apr 17 01:53:31 2022,7.3,22.7,False,True
Sun Apr 17 01:54:01 2022,7.2,22.7,False,True
Sun Apr 17 01:54:31 2022,7.3,22.7,False,True
Sun Apr 17 01:55:01 2022,7.3,22.8,False,True
Sun Apr 17 01:55:31 2022,7.3,22.7,False,True
Sun Apr 17 01:56:01 2022,7.3,22.8,False,True
Sun Apr 17 01:56:31 2022,7.3,22.8,False,True
Sun Apr 17 01:57:01 2022,7.3,22.8,False,True
Sun Apr 17 01:57:31 2022,7.3,22.8,False,True
Sun Apr 17 01:58:01 2022,7.3,22.8,False,True
Sun Apr 17 01:58:31 2022,7.3,22.8,False,True
Sun Apr 17 01:59:01 2022,7.4,22.8,False,True
Sun Apr 17 01:59:31 2022,7.3,22.8,False,True
Sun Apr 17 02:00:01 2022,7.3,22.8,False,True
Sun Apr 17 02:00:31 2022,7.3,22.8,False,True
Sun Apr 17 02:01:01 2022,7.3,22.9,False,True
Sun Apr 17 02:01:31 2022,7.4,22.8,False,True
Sun Apr 17 02:02:01 2022,7.4,22.9,False,True
Sun Apr 17 02:02:31 2022,7.3,22.9,False,True
Sun Apr 17 02:03:01 2022,7.3,22.9,False,True
Sun Apr 17 02:03:31 2022,7.3,22.9,False,True
Sun Apr 17 02:04:01 2022,7.4,22.9,False,True
Sun Apr 17 02:04:31 2022,7.3,22.9,False,True
Sun Apr 17 02:05:01 2022,7.3,22.9,False,True
Sun Apr 17 02:05:31 2022,7.3,22.9,False,True
Sun Apr 17 02:06:01 2022,7.3,22.9,False,True
Sun Apr 17 02:06:31 2022,7.3,22.9,False,True
Sun Apr 17 02:07:01 2022,7.3,23.0,False,True
Sun Apr 17 02:07:31 2022,7.3,23.0,False,True
Sun Apr 17 02:08:01 2022,7.3,23.0,False,True
Sun Apr 17 02:08:31 2022,7.4,23.0,False,True
Sun Apr 17 02:09:01 2022,7.4,23.0,False,True
Sun Apr 17 02:09:31 2022,7.4,23.0,False,True
Sun Apr 17 02:10:01 2022,7.4,23.0,False,True
Sun Apr 17 02:10:31 2022,7.4,23.0,False,True
Sun Apr 17 02:11:01 2022,7.4,23.1,False,True
Sun Apr 17 02:11:31 2022,7.4,23.1,False,True
Sun Apr 17 02:12:01 2022,7.4,23.1,False,True
Sun Apr 17 02:12:31 2022,7.4,23.1,False,True
Sun Apr 17 02:13:01 2022,7.4,23.1,False,True
Sun Apr 17 02:13:31 2022,7.4,23.1,False,True
Sun Apr 17 02:14:01 2022,7.4,23.1,False,True
Sun Apr 17 02:14:31 2022,7.3,23.1,False,True
Sun Apr 17 02:15:01 2022,7.3,23.1,False,True
Sun Apr 17 02:15:31 2022,7.3,23.1,False,True
Sun Apr 17 02:16:01 2022,7.4,23.1,False,True
Sun Apr 17 02:16:31 2022,7.3,23.1,False,True
Sun Apr 17 02:17:01 2022,7.3,23.1,False,True
Sun Apr 17 02:17:31 2022,7.4,23.1,False,True
Sun Apr 17 02:18:01 2022,7.4,23.1,False,True
Sun Apr 17 02:18:31 2022,7.4,23.1,False,True
Sun Apr 17 02:19:01 2022,7.4,23.1,False,True
Sun Apr 17 02:19:31 2022,7.4,23.1,False,True
Sun Apr 17 02:20:01 2022,7.4,23.1,False,True
Sun Apr 17 02:20:31 2022,7.4,23.1,False,True
Sun Apr 17 02:21:01 2022,7.4,23.1,False,True
