TIME,TEMP_OB,TEMP_LOZ,REL_OB,REL_LOZ
Sun Apr  3 03:14:52 2022,18.6,14.8,False,False
Sun Apr  3 03:15:22 2022,18.6,14.8,False,False
Sun Apr  3 03:15:52 2022,18.6,14.7,False,False
Sun Apr  3 03:16:22 2022,18.6,14.6,False,False
Sun Apr  3 03:16:52 2022,18.6,14.6,False,False
Sun Apr  3 03:17:22 2022,18.6,14.6,False,False
Sun Apr  3 03:17:52 2022,18.5,14.5,False,False
Sun Apr  3 03:18:22 2022,18.5,14.4,True,False
Sun Apr  3 03:18:52 2022,18.5,14.4,True,False
Sun Apr  3 03:19:22 2022,18.4,14.3,True,False
Sun Apr  3 03:19:52 2022,18.4,14.3,True,False
Sun Apr  3 03:20:22 2022,18.4,14.3,True,False
Sun Apr  3 03:20:52 2022,18.3,14.3,True,False
Sun Apr  3 03:21:22 2022,18.3,14.2,True,False
Sun Apr  3 03:21:52 2022,18.2,14.2,True,False
Sun Apr  3 03:22:22 2022,18.1,14.2,True,False
Sun Apr  3 03:22:52 2022,18.1,14.2,True,False
Sun Apr  3 03:23:22 2022,18.0,14.2,True,False
Sun Apr  3 03:23:52 2022,18.0,14.2,True,False
Sun Apr  3 03:24:22 2022,17.9,14.2,True,False
Sun Apr  3 03:24:52 2022,17.9,14.2,True,False
Sun Apr  3 03:25:22 2022,17.8,14.2,True,False
Sun Apr  3 03:25:52 2022,17.7,14.2,True,False
Sun Apr  3 03:26:22 2022,17.7,14.3,True,False
Sun Apr  3 03:26:52 2022,17.6,14.4,True,False
Sun Apr  3 03:27:22 2022,17.6,14.4,True,False
Sun Apr  3 03:27:52 2022,17.5,14.4,True,False
Sun Apr  3 03:28:22 2022,17.5,14.5,True,False
Sun Apr  3 03:28:52 2022,17.4,14.5,True,True
Sun Apr  3 03:29:22 2022,17.3,14.6,True,True
Sun Apr  3 03:29:52 2022,17.3,14.6,True,True
Sun Apr  3 03:30:22 2022,17.2,14.7,True,True
Sun Apr  3 03:30:52 2022,17.2,14.7,True,True
Sun Apr  3 03:31:22 2022,17.1,14.8,True,True
Sun Apr  3 03:31:52 2022,17.1,14.8,True,True
Sun Apr  3 03:32:22 2022,17.0,14.9,True,True
Sun Apr  3 03:32:52 2022,17.0,15.0,True,True
Sun Apr  3 03:33:22 2022,16.9,15.0,True,True
Sun Apr  3 03:33:52 2022,16.9,15.1,True,True
Sun Apr  3 03:34:22 2022,16.9,15.1,True,True
Sun Apr  3 03:34:52 2022,16.9,15.2,True,True
Sun Apr  3 03:35:22 2022,16.9,15.3,True,True
Sun Apr  3 03:35:52 2022,16.9,15.3,True,True
Sun Apr  3 03:36:22 2022,16.9,15.4,True,True
Sun Apr  3 03:36:52 2022,16.9,15.5,True,True
Sun Apr  3 03:37:22 2022,16.9,15.5,True,True
Sun Apr  3 03:37:52 2022,16.9,15.6,False,True
Sun Apr  3 03:38:22 2022,16.9,15.6,False,True
Sun Apr  3 03:38:52 2022,16.9,15.7,False,True
Sun Apr  3 03:39:22 2022,16.9,15.8,False,True
