TIME,TEMP_OB,TEMP_LOZ,REL_OB,REL_LOZ
Sun Apr  3 01:09:22 2022,16.9,14.8,False,True
Sun Apr  3 01:09:52 2022,16.9,14.7,False,True
Sun Apr  3 01:10:22 2022,17.0,14.7,False,True
Sun Apr  3 01:10:52 2022,17.0,14.6,False,True
Sun Apr  3 01:11:22 2022,17.0,14.6,False,True
Sun Apr  3 01:11:52 2022,17.0,14.5,False,True
Sun Apr  3 01:12:22 2022,17.0,14.5,False,True
Sun Apr  3 01:12:52 2022,17.1,14.4,True,True
Sun Apr  3 01:13:22 2022,17.1,14.4,True,True
Sun Apr  3 01:13:52 2022,17.1,14.3,True,True
Sun Apr  3 01:14:22 2022,17.1,14.3,True,True
Sun Apr  3 01:14:52 2022,17.1,14.2,True,True
Sun Apr  3 01:15:22 2022,17.2,14.1,True,True
Sun Apr  3 01:15:52 2022,17.2,14.1,True,True
Sun Apr  3 01:16:22 2022,17.2,14.1,True,True
Sun Apr  3 01:16:52 2022,17.2,14.0,True,True
Sun Apr  3 01:17:22 2022,17.2,14.0,True,True
Sun Apr  3 01:17:52 2022,17.2,14.1,True,True
Sun Apr  3 01:18:22 2022,17.3,14.0,True,True
Sun Apr  3 01:18:52 2022,17.3,14.0,True,True
Sun Apr  3 01:19:22 2022,17.3,14.1,True,True
Sun Apr  3 01:19:52 2022,17.3,14.1,True,True
Sun Apr  3 01:20:22 2022,17.3,14.1,True,True
Sun Apr  3 01:20:52 2022,17.3,14.2,True,True
Sun Apr  3 01:21:22 2022,17.3,14.2,True,True
Sun Apr  3 01:21:52 2022,17.4,14.3,True,True
Sun Apr  3 01:22:22 2022,17.4,14.3,True,True
Sun Apr  3 01:22:52 2022,17.4,14.3,True,True
Sun Apr  3 01:23:22 2022,17.4,14.4,True,True
Sun Apr  3 01:23:52 2022,17.5,14.4,True,True
Sun Apr  3 01:24:22 2022,17.5,14.5,True,True
Sun Apr  3 01:24:52 2022,17.5,14.6,True,True
Sun Apr  3 01:25:22 2022,17.5,14.6,True,True
Sun Apr  3 01:25:52 2022,17.5,14.7,True,True
Sun Apr  3 01:26:22 2022,17.5,14.7,True,True
Sun Apr  3 01:26:52 2022,17.6,14.8,True,True
Sun Apr  3 01:27:22 2022,17.6,14.8,True,True
Sun Apr  3 01:27:52 2022,17.6,14.9,True,True
Sun Apr  3 01:28:22 2022,17.6,15.0,True,True
Sun Apr  3 01:28:52 2022,17.6,15.0,True,True
Sun Apr  3 01:29:22 2022,17.7,15.1,True,True
Sun Apr  3 01:29:52 2022,17.7,15.2,True,True
Sun Apr  3 01:30:22 2022,17.7,15.2,True,True
Sun Apr  3 01:30:52 2022,17.7,15.3,True,True
Sun Apr  3 01:31:22 2022,17.7,15.3,True,True
Sun Apr  3 01:31:52 2022,17.7,15.4,True,True
Sun Apr  3 01:32:22 2022,17.7,15.5,True,True
