TIME,TEMP_OB,TEMP_LOZ,REL_OB,REL_LOZ
Sat Apr 16 18:56:53 2022,12.0,22.6,True,False
Sat Apr 16 18:57:23 2022,12.0,22.7,True,False
Sat Apr 16 18:57:53 2022,11.9,22.7,True,False
Sat Apr 16 18:58:23 2022,11.9,22.7,True,False
Sat Apr 16 18:58:53 2022,12.0,22.8,True,False
Sat Apr 16 18:59:23 2022,11.9,22.8,True,False
Sat Apr 16 18:59:53 2022,11.9,22.9,True,False
Sat Apr 16 19:00:23 2022,11.9,22.9,True,False
Sat Apr 16 19:00:53 2022,11.9,22.9,True,False
Sat Apr 16 19:01:23 2022,11.9,23.0,True,False
Sat Apr 16 19:01:53 2022,11.9,23.0,True,False
Sat Apr 16 19:02:23 2022,11.9,23.1,True,False
Sat Apr 16 19:02:53 2022,11.9,23.1,True,False
Sat Apr 16 19:03:23 2022,11.9,23.1,True,False
Sat Apr 16 19:03:53 2022,11.9,23.2,True,False
Sat Apr 16 19:04:23 2022,11.9,23.2,True,False
Sat Apr 16 19:04:53 2022,11.9,23.2,True,False
Sat Apr 16 19:05:23 2022,11.9,23.2,True,False
Sat Apr 16 19:05:53 2022,11.9,23.3,True,False
Sat Apr 16 19:06:23 2022,11.9,23.3,True,False
Sat Apr 16 19:06:53 2022,11.9,23.3,True,False
Sat Apr 16 19:07:23 2022,11.9,23.4,True,False
Sat Apr 16 19:07:53 2022,11.9,23.4,True,False
Sat Apr 16 19:08:23 2022,11.9,23.4,True,False
Sat Apr 16 19:08:53 2022,11.9,23.5,True,False
Sat Apr 16 19:09:23 2022,11.9,23.5,True,False
Sat Apr 16 19:09:53 2022,11.8,23.5,True,False
Sat Apr 16 19:10:23 2022,11.8,23.5,True,False
Sat Apr 16 19:10:53 2022,11.8,23.6,True,False
Sat Apr 16 19:11:23 2022,11.8,23.6,True,False
Sat Apr 16 19:11:53 2022,11.8,23.6,True,False
Sat Apr 16 19:12:23 2022,11.8,23.6,True,False
Sat Apr 16 19:12:53 2022,11.7,23.7,True,False
Sat Apr 16 19:13:23 2022,11.8,23.7,True,False
Sat Apr 16 19:13:53 2022,11.8,23.7,True,False
Sat Apr 16 19:14:23 2022,11.7,23.8,True,False
Sat Apr 16 19:14:53 2022,11.7,23.8,True,False
Sat Apr 16 19:15:23 2022,11.7,23.8,True,False
Sat Apr 16 19:15:53 2022,11.7,23.8,True,False
Sat Apr 16 19:16:23 2022,11.7,23.9,True,False
Sat Apr 16 19:16:53 2022,11.7,23.9,True,False
