time,temp_1,temp_2,type_of_heating_foil
Wed Dec 22 18:13:14 2021,2.4,-3.7,HD3025G_20W
Wed Dec 22 18:13:16 2021,2.3,-3.7,HD3025G_20W
Wed Dec 22 18:13:18 2021,2.4,-3.7,HD3025G_20W
Wed Dec 22 18:13:21 2021,2.4,-3.7,HD3025G_20W
Wed Dec 22 18:13:24 2021,2.4,-3.7,HD3025G_20W
Wed Dec 22 18:13:26 2021,2.5,-3.7,HD3025G_20W
Wed Dec 22 18:13:29 2021,2.5,-3.7,HD3025G_20W
Wed Dec 22 18:13:32 2021,2.5,-3.7,HD3025G_20W
Wed Dec 22 18:13:34 2021,2.5,-3.7,HD3025G_20W
Wed Dec 22 18:13:37 2021,2.5,-3.7,HD3025G_20W
Wed Dec 22 18:13:39 2021,2.6,-3.7,HD3025G_20W
Wed Dec 22 18:13:41 2021,2.7,-3.7,HD3025G_20W
Wed Dec 22 18:13:44 2021,2.6,-3.7,HD3025G_20W
Wed Dec 22 18:13:46 2021,2.7,-3.7,HD3025G_20W
Wed Dec 22 18:13:49 2021,2.7,-3.7,HD3025G_20W
Wed Dec 22 18:13:51 2021,2.7,-3.7,HD3025G_20W
Wed Dec 22 18:13:54 2021,2.8,-3.7,HD3025G_20W
Wed Dec 22 18:13:56 2021,2.8,-3.7,HD3025G_20W
Wed Dec 22 18:13:58 2021,2.9,-3.7,HD3025G_20W
Wed Dec 22 18:14:01 2021,2.9,-3.7,HD3025G_20W
Wed Dec 22 18:14:03 2021,2.9,-3.7,HD3025G_20W
Wed Dec 22 18:14:06 2021,2.9,-3.8,HD3025G_20W
Wed Dec 22 18:14:08 2021,3.0,-3.8,HD3025G_20W
Wed Dec 22 18:14:11 2021,3.0,-3.8,HD3025G_20W
Wed Dec 22 18:14:13 2021,3.1,-3.8,HD3025G_20W
Wed Dec 22 18:14:15 2021,3.1,-3.8,HD3025G_20W
Wed Dec 22 18:14:18 2021,3.1,-3.8,HD3025G_20W
Wed Dec 22 18:14:20 2021,3.1,-3.8,HD3025G_20W
Wed Dec 22 18:14:23 2021,3.1,-3.8,HD3025G_20W
Wed Dec 22 18:14:25 2021,3.2,-3.8,HD3025G_20W
Wed Dec 22 18:14:27 2021,3.2,-3.8,HD3025G_20W
Wed Dec 22 18:14:30 2021,3.2,-3.8,HD3025G_20W
Wed Dec 22 18:14:32 2021,3.3,-3.8,HD3025G_20W
Wed Dec 22 18:14:35 2021,3.3,-3.8,HD3025G_20W
Wed Dec 22 18:14:37 2021,3.3,-3.7,HD3025G_20W
Wed Dec 22 18:14:40 2021,3.4,-3.8,HD3025G_20W
Wed Dec 22 18:14:42 2021,3.4,-3.7,HD3025G_20W
Wed Dec 22 18:14:45 2021,3.4,-3.7,HD3025G_20W
Wed Dec 22 18:14:48 2021,3.4,-3.8,HD3025G_20W
Wed Dec 22 18:14:50 2021,3.5,-3.7,HD3025G_20W
Wed Dec 22 18:14:53 2021,3.5,-3.7,HD3025G_20W
Wed Dec 22 18:14:55 2021,3.5,-3.7,HD3025G_20W
Wed Dec 22 18:14:57 2021,3.6,-3.8,HD3025G_20W
Wed Dec 22 18:15:00 2021,3.6,-3.8,HD3025G_20W
Wed Dec 22 18:15:02 2021,3.6,-3.8,HD3025G_20W
Wed Dec 22 18:15:05 2021,3.6,-3.7,HD3025G_20W
Wed Dec 22 18:15:07 2021,3.7,-3.8,HD3025G_20W
Wed Dec 22 18:15:10 2021,3.7,-3.8,HD3025G_20W
Wed Dec 22 18:15:12 2021,3.7,-3.8,HD3025G_20W
Wed Dec 22 18:15:14 2021,3.8,-3.8,HD3025G_20W
Wed Dec 22 18:15:17 2021,3.8,-3.8,HD3025G_20W
Wed Dec 22 18:15:19 2021,3.8,-3.8,HD3025G_20W
Wed Dec 22 18:15:22 2021,3.8,-3.8,HD3025G_20W
Wed Dec 22 18:15:24 2021,3.9,-3.8,HD3025G_20W
Wed Dec 22 18:15:26 2021,3.9,-3.8,HD3025G_20W
Wed Dec 22 18:15:29 2021,3.9,-3.8,HD3025G_20W
Wed Dec 22 18:15:31 2021,3.9,-3.8,HD3025G_20W
Wed Dec 22 18:15:34 2021,4.0,-3.8,HD3025G_20W
Wed Dec 22 18:15:37 2021,4.0,-3.8,HD3025G_20W
Wed Dec 22 18:15:39 2021,4.0,-3.8,HD3025G_20W
Wed Dec 22 18:15:41 2021,4.0,-3.8,HD3025G_20W
Wed Dec 22 18:15:44 2021,4.0,-3.8,HD3025G_20W
Wed Dec 22 18:15:46 2021,4.1,-3.8,HD3025G_20W
Wed Dec 22 18:15:48 2021,4.1,-3.8,HD3025G_20W
Wed Dec 22 18:15:51 2021,4.2,-3.8,HD3025G_20W
Wed Dec 22 18:15:53 2021,4.1,-3.8,HD3025G_20W
Wed Dec 22 18:15:55 2021,4.2,-3.8,HD3025G_20W
Wed Dec 22 18:15:58 2021,4.2,-3.8,HD3025G_20W
Wed Dec 22 18:16:00 2021,4.2,-3.8,HD3025G_20W
Wed Dec 22 18:16:03 2021,4.2,-3.8,HD3025G_20W
Wed Dec 22 18:16:05 2021,4.3,-3.7,HD3025G_20W
Wed Dec 22 18:16:07 2021,4.3,-3.8,HD3025G_20W
Wed Dec 22 18:16:09 2021,4.4,-3.7,HD3025G_20W
Wed Dec 22 18:16:11 2021,4.4,-3.7,HD3025G_20W
Wed Dec 22 18:16:14 2021,4.4,-3.8,HD3025G_20W
Wed Dec 22 18:16:16 2021,4.4,-3.8,HD3025G_20W
Wed Dec 22 18:16:19 2021,4.4,-3.8,HD3025G_20W
Wed Dec 22 18:16:21 2021,4.4,-3.7,HD3025G_20W
Wed Dec 22 18:16:23 2021,4.5,-3.7,HD3025G_20W
Wed Dec 22 18:16:26 2021,4.5,-3.8,HD3025G_20W
Wed Dec 22 18:16:28 2021,4.5,-3.8,HD3025G_20W
Wed Dec 22 18:16:30 2021,4.6,-3.8,HD3025G_20W
Wed Dec 22 18:16:32 2021,4.6,-3.7,HD3025G_20W
Wed Dec 22 18:16:34 2021,4.6,-3.7,HD3025G_20W
Wed Dec 22 18:16:37 2021,4.6,-3.8,HD3025G_20W
Wed Dec 22 18:16:39 2021,4.6,-3.8,HD3025G_20W
Wed Dec 22 18:16:41 2021,4.7,-3.7,HD3025G_20W
Wed Dec 22 18:16:43 2021,4.7,-3.8,HD3025G_20W
Wed Dec 22 18:16:45 2021,4.7,-3.8,HD3025G_20W
Wed Dec 22 18:16:48 2021,4.7,-3.8,HD3025G_20W
Wed Dec 22 18:16:50 2021,4.7,-3.8,HD3025G_20W
Wed Dec 22 18:16:52 2021,4.8,-3.7,HD3025G_20W
Wed Dec 22 18:16:54 2021,4.8,-3.7,HD3025G_20W
Wed Dec 22 18:16:56 2021,4.8,-3.7,HD3025G_20W
Wed Dec 22 18:16:59 2021,4.8,-3.7,HD3025G_20W
Wed Dec 22 18:17:01 2021,4.9,-3.7,HD3025G_20W
Wed Dec 22 18:17:03 2021,4.9,-3.7,HD3025G_20W
